# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 5.05e-05 0.378101
200 0.0001505 0.346538
300 0.0002505 0.382816
400 0.0003505 0.348984
500 0.0004505 0.384936
600 0.0005505 0.388798
700 0.0006505 0.406293
800 0.0007505 0.399919
900 0.0008505 0.407394
1000 0.0009505 0.422986
1100 0.0010505 0.374406
1200 0.0011505 0.415091
1300 0.0012505 0.398509
1400 0.0013505 0.38777
1500 0.0014505 0.424302
1600 0.0015505 0.413651
1700 0.0016505 0.425342
1800 0.0017505 0.44704
1900 0.0018505 0.429682
2000 0.0019505 0.423043
2100 0.0020505 0.445839
2200 0.0021505 0.46917
2300 0.0022505 0.445222
2400 0.0023505 0.444783
2500 0.0024505 0.430782
2600 0.0025505 0.4353
2700 0.0026505 0.459862
2800 0.0027505 0.482615
2900 0.0028505 0.482711
3000 0.0029505 0.475383
3100 0.0030505 0.503375
3200 0.0031505 0.456655
3300 0.0032505 0.478193
3400 0.0033505 0.472048
3500 0.0034505 0.437164
3600 0.0035505 0.492069
3700 0.0036505 0.491971
3800 0.0037505 0.527645
3900 0.0038505 0.540614
4000 0.0039505 0.552805
4100 0.0040505 0.527084
4200 0.0041505 0.546928
4300 0.0042505 0.532747
4400 0.0043505 0.510732
4500 0.0044505 0.477286
4600 0.0045505 0.490744
4700 0.0046505 0.511282
4800 0.0047505 0.539729
4900 0.0048505 0.549953
5000 0.0049505 0.57881
5100 0.0050505 0.599234
5200 0.0051505 0.604689
5300 0.0052505 0.584465
5400 0.0053505 0.563139
5500 0.0054505 0.552267
5600 0.0055505 0.576117
5700 0.0056505 0.555667
5800 0.0057505 0.511717
5900 0.0058505 0.542071
6000 0.0059505 0.558664
6100 0.0060505 0.619291
6200 0.0061505 0.599593
6300 0.0062505 0.621152
6400 0.0063505 0.601784
6500 0.0064505 0.625634
6600 0.0065505 0.604698
6700 0.0066505 0.57295
6800 0.0067505 0.572964
6900 0.0068505 0.599297
7000 0.0069505 0.62735
7100 0.0070505 0.600977
7200 0.0071505 0.612002
7300 0.0072505 0.653642
7400 0.0073505 0.642105
7500 0.0074505 0.646476
7600 0.0075505 0.648258
7700 0.0076505 0.618143
7800 0.0077505 0.626509
7900 0.0078505 0.627414
8000 0.0079505 0.591744
8100 0.0080505 0.625462
8200 0.0081505 0.643055
8300 0.0082505 0.67737
8400 0.0083505 0.696477
8500 0.0084505 0.66631
8600 0.0085505 0.687274
8700 0.0086505 0.691276
8800 0.0087505 0.668433
8900 0.0088505 0.658543
9000 0.0089505 0.659009
9100 0.0090505 0.690376
9200 0.0091505 0.661435
9300 0.0092505 0.685609
9400 0.0093505 0.688191
9500 0.0094505 0.724694
9600 0.0095505 0.746027
9700 0.0096505 0.715131
9800 0.0097505 0.707381
9900 0.0098505 0.698996
10000 0.0099505 0.753371
10100 0.0100505 0.731228
10200 0.0101505 0.675181
10300 0.0102505 0.719342
10400 0.0103505 0.716198
10500 0.0104505 0.727103
10600 0.0105505 0.748838
10700 0.0106505 0.758985
10800 0.0107505 0.765096
10900 0.0108505 0.781363
11000 0.0109505 0.748247
11100 0.0110505 0.706615
11200 0.0111505 0.772992
11300 0.0112505 0.766993
