# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 2.525e-05 0.243834
200 7.525e-05 0.256836
300 0.00012525 0.264787
400 0.00017525 0.276918
500 0.00022525 0.251081
600 0.00027525 0.26164
700 0.00032525 0.24002
800 0.00037525 0.220415
900 0.00042525 0.198095
1000 0.00047525 0.194859
1100 0.00052525 0.16523
1200 0.00057525 0.16377
1300 0.00062525 0.152476
1400 0.00067525 0.147557
1500 0.00072525 0.14204
1600 0.00077525 0.145105
1700 0.00082525 0.165238
1800 0.00087525 0.175995
1900 0.00092525 0.196992
2000 0.00097525 0.204724
2100 0.00102525 0.24406
2200 0.00107525 0.265786
2300 0.00112525 0.278804
2400 0.00117525 0.285705
2500 0.00122525 0.287614
2600 0.00127525 0.288875
2700 0.00132525 0.29831
2800 0.00137525 0.286708
2900 0.00142525 0.26766
3000 0.00147525 0.257085
3100 0.00152525 0.24911
3200 0.00157525 0.224253
3300 0.00162525 0.212366
3400 0.00167525 0.192086
3500 0.00172525 0.186122
3600 0.00177525 0.174809
3700 0.00182525 0.168136
3800 0.00187525 0.201638
3900 0.00192525 0.21355
4000 0.00197525 0.219478
4100 0.00202525 0.245459
4200 0.00207525 0.253606
4300 0.00212525 0.283772
4400 0.00217525 0.307123
4500 0.00222525 0.323605
4600 0.00227525 0.327599
4700 0.00232525 0.325582
4800 0.00237525 0.332308
4900 0.00242525 0.343151
5000 0.00247525 0.327019
5100 0.00252525 0.315553
5200 0.00257525 0.290007
5300 0.00262525 0.267415
5400 0.00267525 0.245253
5500 0.00272525 0.245174
5600 0.00277525 0.250509
5700 0.00282525 0.246479
5800 0.00287525 0.223611
5900 0.00292525 0.225595
6000 0.00297525 0.226928
6100 0.00302525 0.248095
6200 0.00307525 0.269379
6300 0.00312525 0.287378
6400 0.00317525 0.302471
6500 0.00322525 0.336754
6600 0.00327525 0.347092
6700 0.00332525 0.371233
6800 0.00337525 0.383822
6900 0.00342525 0.381254
7000 0.00347525 0.358519
7100 0.00352525 0.354702
7200 0.00357525 0.354713
7300 0.00362525 0.339448
7400 0.00367525 0.334112
7500 0.00372525 0.326192
7600 0.00377525 0.282054
7700 0.00382525 0.280045
7800 0.00387525 0.267308
7900 0.00392525 0.273379
8000 0.00397525 0.271437
8100 0.00402525 0.282502
8200 0.00407525 0.272203
8300 0.00412525 0.298123
8400 0.00417525 0.323095
8500 0.00422525 0.364604
8600 0.00427525 0.363794
8700 0.00432525 0.376886
8800 0.00437525 0.386287
8900 0.00442525 0.394162
9000 0.00447525 0.416926
9100 0.00452525 0.418681
9200 0.00457525 0.413769
9300 0.00462525 0.407816
9400 0.00467525 0.397719
9500 0.00472525 0.386369
9600 0.00477525 0.368389
9700 0.00482525 0.354365
9800 0.00487525 0.319502
9900 0.00492525 0.315238
10000 0.00497525 0.313272
10100 0.00502525 0.325831
10200 0.00507525 0.31773
10300 0.00512525 0.323957
10400 0.00517525 0.340081
10500 0.00522525 0.336804
10600 0.00527525 0.35888
10700 0.00532525 0.38241
10800 0.00537525 0.404671
10900 0.00542525 0.418342
11000 0.00547525 0.43965
11100 0.00552525 0.441216
11200 0.00557525 0.459956
11300 0.00562525 0.476473
11400 0.00567525 0.451691
11500 0.00572525 0.435069
11600 0.00577525 0.414
11700 0.00582525 0.410213
11800 0.00587525 0.404292
11900 0.00592525 0.386493
12000 0.00597525 0.381476
12100 0.00602525 0.362381
12200 0.00607525 0.351626
12300 0.00612525 0.358362
12400 0.00617525 0.347302
12500 0.00622525 0.36318
12600 0.00627525 0.3758
12700 0.00632525 0.383976
12800 0.00637525 0.404823
12900 0.00642525 0.435524
13000 0.00647525 0.457856
13100 0.00652525 0.480973
13200 0.00657525 0.486025
13300 0.00662525 0.493803
13400 0.00667525 0.487027
13500 0.00672525 0.486306
13600 0.00677525 0.48912
13700 0.00682525 0.477244
13800 0.00687525 0.45871
13900 0.00692525 0.458154
14000 0.00697525 0.422306
14100 0.00702525 0.421486
14200 0.00707525 0.417083
14300 0.00712525 0.400623
14400 0.00717525 0.382537
14500 0.00722525 0.372063
14600 0.00727525 0.385293
14700 0.00732525 0.41634
14800 0.00737525 0.428495
14900 0.00742525 0.440631
15000 0.00747525 0.458594
15100 0.00752525 0.484786
15200 0.00757525 0.504665
15300 0.00762525 0.500757
15400 0.00767525 0.52526
15500 0.00772525 0.531927
15600 0.00777525 0.534651
15700 0.00782525 0.52361
15800 0.00787525 0.528301
15900 0.00792525 0.522217
16000 0.00797525 0.51339
16100 0.00802525 0.477641
16200 0.00807525 0.459972
16300 0.00812525 0.448127
16400 0.00817525 0.431823
16500 0.00822525 0.445076
16600 0.00827525 0.42432
16700 0.00832525 0.441244
16800 0.00837525 0.462987
16900 0.00842525 0.463342
17000 0.00847525 0.451241
17100 0.00852525 0.482399
17200 0.00857525 0.509915
17300 0.00862525 0.53059
17400 0.00867525 0.546757
17500 0.00872525 0.555123
17600 0.00877525 0.572271
17700 0.00882525 0.587028
17800 0.00887525 0.573623
17900 0.00892525 0.571026
18000 0.00897525 0.562494
18100 0.00902525 0.541813
18200 0.00907525 0.53368
18300 0.00912525 0.494536
18400 0.00917525 0.495699
18500 0.00922525 0.485227
18600 0.00927525 0.483293
18700 0.00932525 0.469317
18800 0.00937525 0.474525
18900 0.00942525 0.490604
19000 0.00947525 0.492243
19100 0.00952525 0.48881
19200 0.00957525 0.501487
19300 0.00962525 0.54082
19400 0.00967525 0.562382
19500 0.00972525 0.581077
19600 0.00977525 0.599448
19700 0.00982525 0.600371
19800 0.00987525 0.615323
19900 0.00992525 0.605653
20000 0.00997525 0.601872
20100 0.0100252 0.600457
20200 0.0100753 0.594154
20300 0.0101253 0.577966
20400 0.0101753 0.548778
20500 0.0102253 0.550406
20600 0.0102753 0.54768
20700 0.0103252 0.520881
20800 0.0103753 0.512567
20900 0.0104253 0.507886
21000 0.0104753 0.513779
21100 0.0105253 0.511206
21200 0.0105753 0.526878
21300 0.0106252 0.559116
21400 0.0106753 0.571806
21500 0.0107253 0.584705
21600 0.0107753 0.604722
21700 0.0108253 0.616839
21800 0.0108753 0.63348
21900 0.0109253 0.640629
22000 0.0109753 0.657664
22100 0.0110253 0.648211
22200 0.0110752 0.654325
22300 0.0111252 0.644172
22400 0.0111753 0.626297
22500 0.0112253 0.617014
22600 0.0112753 0.585611
22700 0.0113253 0.579498
22800 0.0113753 0.557851
22900 0.0114252 0.558926
23000 0.0114753 0.550601
23100 0.0115253 0.565418
23200 0.0115752 0.559042
23300 0.0116253 0.565627
23400 0.0116752 0.575548
23500 0.0117253 0.581062
23600 0.0117753 0.601902
23700 0.0118253 0.630748
23800 0.0118753 0.650403
23900 0.0119253 0.668038
24000 0.0119752 0.684147
24100 0.0120253 0.701885
24200 0.0120753 0.671754
24300 0.0121252 0.689767
24400 0.0121752 0.689218
24500 0.0122253 0.667753
24600 0.0122753 0.646253
24700 0.0123253 0.639365
24800 0.0123753 0.637983
24900 0.0124253 0.616947
25000 0.0124753 0.617081
25100 0.0125253 0.594438
25200 0.0125753 0.611891
25300 0.0126252 0.594008
25400 0.0126753 0.589918
25500 0.0127253 0.607636
25600 0.0127753 0.621004
25700 0.0128253 0.641029
25800 0.0128752 0.666715
25900 0.0129252 0.680069
26000 0.0129753 0.690798
26100 0.0130252 0.707707
26200 0.0130753 0.706916
26300 0.0131253 0.720946
26400 0.0131753 0.713507
26500 0.0132253 0.717261
26600 0.0132753 0.718627
26700 0.0133253 0.706672
26800 0.0133753 0.692866
26900 0.0134253 0.694437
27000 0.0134753 0.677304
27100 0.0135252 0.657503
27200 0.0135753 0.642238
27300 0.0136253 0.631275
27400 0.0136753 0.627074
27500 0.0137253 0.64389
27600 0.0137752 0.654689
27700 0.0138253 0.656549
27800 0.0138753 0.681354
27900 0.0139253 0.688986
28000 0.0139753 0.692299
28100 0.0140253 0.719978
28200 0.0140753 0.730361
28300 0.0141253 0.745504
28400 0.0141753 0.755753
28500 0.0142253 0.760054
28600 0.0142753 0.787145
28700 0.0143253 0.778068
28800 0.0143753 0.766025
28900 0.0144253 0.740943
29000 0.0144753 0.715574
29100 0.0145253 0.719184
29200 0.0145753 0.706499
29300 0.0146253 0.701191
29400 0.0146753 0.691188
29500 0.0147252 0.692935
29600 0.0147753 0.691044
29700 0.0148253 0.676363
29800 0.0148753 0.702973
29900 0.0149253 0.710435
30000 0.0149753 0.709309
30100 0.0150253 0.721428
30200 0.0150753 0.753771
30300 0.0151253 0.767642
30400 0.0151753 0.793195
30500 0.0152253 0.808582
30600 0.0152753 0.795508
30700 0.0153253 0.791383
30800 0.0153753 0.805821
30900 0.0154253 0.803503
31000 0.0154752 0.795195
31100 0.0155253 0.785619
31200 0.0155753 0.763344
31300 0.0156253 0.771948
31400 0.0156753 0.756115
31500 0.0157253 0.748025
31600 0.0157753 0.74739
31700 0.0158253 0.745346
31800 0.0158753 0.719807
31900 0.0159253 0.719037
32000 0.0159753 0.735349
32100 0.0160253 0.753183
32200 0.0160753 0.784933
32300 0.0161253 0.78439
32400 0.0161753 0.798414
32500 0.0162253 0.804113
32600 0.0162753 0.816439
32700 0.0163253 0.841824
32800 0.0163752 0.834168
32900 0.0164253 0.831017
33000 0.0164753 0.855529
33100 0.0165253 0.838574
33200 0.0165753 0.846229
33300 0.0166253 0.836616
33400 0.0166753 0.816836
33500 0.0167253 0.802362
33600 0.0167753 0.785684
33700 0.0168253 0.76183
33800 0.0168753 0.765947
33900 0.0169252 0.772859
34000 0.0169752 0.772347
34100 0.0170253 0.765089
34200 0.0170753 0.791264
34300 0.0171252 0.790283
34400 0.0171753 0.815073
34500 0.0172253 0.812235
