# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 2.525e-05 0.259953
200 7.525e-05 0.304311
300 0.00012525 0.344559
400 0.00017525 0.325135
500 0.00022525 0.319295
600 0.00027525 0.303208
700 0.00032525 0.27592
800 0.00037525 0.241704
900 0.00042525 0.220224
1000 0.00047525 0.192291
1100 0.00052525 0.170634
1200 0.00057525 0.154228
1300 0.00062525 0.16781
1400 0.00067525 0.232535
1500 0.00072525 0.256812
1600 0.00077525 0.307536
1700 0.00082525 0.306654
1800 0.00087525 0.357213
1900 0.00092525 0.355749
2000 0.00097525 0.35068
2100 0.00102525 0.336524
2200 0.00107525 0.319065
2300 0.00112525 0.292144
2400 0.00117525 0.231717
2500 0.00122525 0.216373
2600 0.00127525 0.178506
2700 0.00132525 0.216142
2800 0.00137525 0.226941
2900 0.00142525 0.246646
3000 0.00147525 0.274892
3100 0.00152525 0.298291
3200 0.00157525 0.335284
3300 0.00162525 0.360642
3400 0.00167525 0.380699
3500 0.00172525 0.396192
3600 0.00177525 0.380162
3700 0.00182525 0.347942
3800 0.00187525 0.290501
3900 0.00192525 0.280633
4000 0.00197525 0.254817
4100 0.00202525 0.242926
4200 0.00207525 0.246006
4300 0.00212525 0.219884
4400 0.00217525 0.276064
4500 0.00222525 0.287225
4600 0.00227525 0.321846
4700 0.00232525 0.40117
4800 0.00237525 0.410908
4900 0.00242525 0.406337
5000 0.00247525 0.4013
5100 0.00252525 0.40304
5200 0.00257525 0.371289
5300 0.00262525 0.34949
5400 0.00267525 0.318261
5500 0.00272525 0.232914
5600 0.00277525 0.25552
5700 0.00282525 0.242389
5800 0.00287525 0.258021
5900 0.00292525 0.290786
6000 0.00297525 0.316334
6100 0.00302525 0.367837
6200 0.00307525 0.413937
6300 0.00312525 0.424704
6400 0.00317525 0.420731
6500 0.00322525 0.457082
6600 0.00327525 0.417533
6700 0.00332525 0.374054
6800 0.00337525 0.369596
6900 0.00342525 0.317477
7000 0.00347525 0.293647
7100 0.00352525 0.279783
7200 0.00357525 0.265517
7300 0.00362525 0.302605
7400 0.00367525 0.317594
7500 0.00372525 0.346396
7600 0.00377525 0.379406
7700 0.00382525 0.437284
7800 0.00387525 0.438593
7900 0.00392525 0.479688
8000 0.00397525 0.461369
8100 0.00402525 0.447365
8200 0.00407525 0.405028
8300 0.00412525 0.373916
8400 0.00417525 0.349882
8500 0.00422525 0.34068
8600 0.00427525 0.307787
8700 0.00432525 0.326545
8800 0.00437525 0.300411
8900 0.00442525 0.338847
9000 0.00447525 0.380929
9100 0.00452525 0.418697
9200 0.00457525 0.444207
9300 0.00462525 0.455244
9400 0.00467525 0.484698
9500 0.00472525 0.454426
9600 0.00477525 0.463351
9700 0.00482525 0.435696
9800 0.00487525 0.429056
9900 0.00492525 0.40219
10000 0.00497525 0.357707
10100 0.00502525 0.347812
10200 0.00507525 0.322375
10300 0.00512525 0.346922
10400 0.00517525 0.370256
10500 0.00522525 0.432005
10600 0.00527525 0.441236
10700 0.00532525 0.459608
10800 0.00537525 0.496084
10900 0.00542525 0.476106
11000 0.00547525 0.500111
11100 0.00552525 0.503014
11200 0.00557525 0.476165
11300 0.00562525 0.464694
11400 0.00567525 0.400319
11500 0.00572525 0.389097
11600 0.00577525 0.355085
11700 0.00582525 0.381459
11800 0.00587525 0.400867
11900 0.00592525 0.400747
12000 0.00597525 0.435898
12100 0.00602525 0.436754
12200 0.00607525 0.46831
12300 0.00612525 0.512934
12400 0.00617525 0.547307
12500 0.00622525 0.541174
12600 0.00627525 0.538812
12700 0.00632525 0.497061
