# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 5.05e-06 0.242114
200 1.505e-05 0.252086
300 2.505e-05 0.257406
400 3.505e-05 0.267326
500 4.505e-05 0.23973
600 5.505e-05 0.24908
700 6.505e-05 0.225982
800 7.505e-05 0.206934
900 8.505e-05 0.182923
1000 9.505e-05 0.179393
1100 0.00010505 0.148778
1200 0.00011505 0.149658
1300 0.00012505 0.137888
1400 0.00013505 0.1303
1500 0.00014505 0.126556
1600 0.00015505 0.130118
1700 0.00016505 0.14946
1800 0.00017505 0.155081
1900 0.00018505 0.174473
2000 0.00019505 0.180027
2100 0.00020505 0.221196
2200 0.00021505 0.238595
2300 0.00022505 0.250092
2400 0.00023505 0.254664
2500 0.00024505 0.248394
2600 0.00025505 0.253669
2700 0.00026505 0.264367
2800 0.00027505 0.239822
2900 0.00028505 0.223369
3000 0.00029505 0.217098
3100 0.00030505 0.208028
3200 0.00031505 0.181814
3300 0.00032505 0.157234
3400 0.00033505 0.148596
3500 0.00034505 0.133251
3600 0.00035505 0.131394
3700 0.00036505 0.127601
3800 0.00037505 0.150801
3900 0.00038505 0.160331
4000 0.00039505 0.166414
4100 0.00040505 0.197761
4200 0.00041505 0.199068
4300 0.00042505 0.23036
4400 0.00043505 0.239201
4500 0.00044505 0.251498
4600 0.00045505 0.258919
4700 0.00046505 0.258508
4800 0.00047505 0.263295
4900 0.00048505 0.268161
5000 0.00049505 0.249281
5100 0.00050505 0.229505
5200 0.00051505 0.203577
5300 0.00052505 0.18471
5400 0.00053505 0.167724
5500 0.00054505 0.161231
5600 0.00055505 0.169815
5700 0.00056505 0.159366
5800 0.00057505 0.145174
5900 0.00058505 0.151664
6000 0.00059505 0.151927
6100 0.00060505 0.175354
6200 0.00061505 0.191097
6300 0.00062505 0.194248
6400 0.00063505 0.218638
6500 0.00064505 0.262538
6600 0.00065505 0.249631
6700 0.00066505 0.266461
6800 0.00067505 0.289657
6900 0.00068505 0.248868
7000 0.00069505 0.260517
7100 0.00070505 0.25659
7200 0.00071505 0.233555
7300 0.00072505 0.230946
7400 0.00073505 0.217509
7500 0.00074505 0.199833
7600 0.00075505 0.180488
7700 0.00076505 0.169709
7800 0.00077505 0.165591
7900 0.00078505 0.151571
8000 0.00079505 0.149462
8100 0.00080505 0.171422
8200 0.00081505 0.170674
8300 0.00082505 0.179804
8400 0.00083505 0.225113
8500 0.00084505 0.227537
8600 0.00085505 0.247715
8700 0.00086505 0.256524
8800 0.00087505 0.255364
8900 0.00088505 0.270111
9000 0.00089505 0.27258
9100 0.00090505 0.281415
9200 0.00091505 0.270587
9300 0.00092505 0.258976
9400 0.00093505 0.251204
9500 0.00094505 0.237453
9600 0.00095505 0.224435
9700 0.00096505 0.19723
9800 0.00097505 0.185548
9900 0.00098505 0.160793
10000 0.00099505 0.151297
10100 0.00100505 0.179793
10200 0.00101505 0.161879
10300 0.00102505 0.191809
10400 0.00103505 0.204013
10500 0.00104505 0.204527
10600 0.00105505 0.221141
10700 0.00106505 0.242375
10800 0.00107505 0.24371
10900 0.00108505 0.257787
11000 0.00109505 0.272495
11100 0.00110505 0.282626
11200 0.00111505 0.300169
11300 0.00112505 0.300389
11400 0.00113505 0.279041
11500 0.00114505 0.260947
11600 0.00115505 0.251778
11700 0.00116505 0.231508
11800 0.00117505 0.21033
11900 0.00118505 0.197333
12000 0.00119505 0.200832
12100 0.00120505 0.198829
12200 0.00121505 0.172034
12300 0.00122505 0.178109
12400 0.00123505 0.18305
12500 0.00124505 0.185803
12600 0.00125505 0.192896
12700 0.00126505 0.204223
12800 0.00127505 0.225359
12900 0.00128505 0.258404
13000 0.00129505 0.281043
13100 0.00130505 0.293441
13200 0.00131505 0.303492
13300 0.00132505 0.29422
13400 0.00133505 0.299993
13500 0.00134505 0.274572
13600 0.00135505 0.275516
13700 0.00136505 0.267568
13800 0.00137505 0.261678
13900 0.00138505 0.242869
14000 0.00139505 0.222475
14100 0.00140505 0.21993
14200 0.00141505 0.195955
14300 0.00142505 0.179706
14400 0.00143505 0.168543
14500 0.00144505 0.173868
14600 0.00145505 0.178685
14700 0.00146505 0.201081
14800 0.00147505 0.223261
14900 0.00148505 0.234688
15000 0.00149505 0.260754
15100 0.00150505 0.282925
15200 0.00151505 0.275104
15300 0.00152505 0.285508
15400 0.00153505 0.29321
15500 0.00154505 0.301927
15600 0.00155505 0.299122
15700 0.00156505 0.296565
15800 0.00157505 0.283809
15900 0.00158505 0.283837
16000 0.00159505 0.25716
16100 0.00160505 0.226613
16200 0.00161505 0.19193
16300 0.00162505 0.185853
16400 0.00163505 0.188163
16500 0.00164505 0.180168
16600 0.00165505 0.183445
16700 0.00166505 0.201236
16800 0.00167505 0.205399
16900 0.00168505 0.216995
17000 0.00169505 0.216269
17100 0.00170505 0.231755
17200 0.00171505 0.251042
17300 0.00172505 0.276487
17400 0.00173505 0.295367
17500 0.00174505 0.302998
17600 0.00175505 0.314882
17700 0.00176505 0.31314
17800 0.00177505 0.31088
17900 0.00178505 0.284661
18000 0.00179505 0.284947
18100 0.00180505 0.263852
18200 0.00181505 0.242148
18300 0.00182505 0.214048
18400 0.00183505 0.223661
18500 0.00184505 0.205132
18600 0.00185505 0.205784
18700 0.00186505 0.193456
18800 0.00187505 0.189045
18900 0.00188505 0.188722
19000 0.00189505 0.203751
19100 0.00190505 0.219795
19200 0.00191505 0.24622
19300 0.00192505 0.259038
19400 0.00193505 0.268345
19500 0.00194505 0.299583
19600 0.00195505 0.31006
19700 0.00196505 0.319651
19800 0.00197505 0.317993
19900 0.00198505 0.296345
20000 0.00199505 0.291312
20100 0.00200505 0.288841
20200 0.00201505 0.280814
20300 0.00202505 0.266232
20400 0.00203505 0.262418
20500 0.00204505 0.231574
20600 0.00205505 0.220023
20700 0.00206505 0.209896
20800 0.00207505 0.190561
20900 0.00208505 0.197491
21000 0.00209505 0.216842
21100 0.00210505 0.214388
21200 0.00211505 0.236581
21300 0.00212505 0.250593
21400 0.00213505 0.263424
21500 0.00214505 0.279771
21600 0.00215505 0.287182
21700 0.00216505 0.297315
21800 0.00217505 0.301089
21900 0.00218505 0.321113
22000 0.00219505 0.325098
22100 0.00220505 0.327874
22200 0.00221505 0.303091
22300 0.00222505 0.31216
22400 0.00223505 0.281948
22500 0.00224505 0.261724
22600 0.00225505 0.242509
22700 0.00226505 0.23241
22800 0.00227505 0.215237
22900 0.00228505 0.225506
23000 0.00229505 0.204046
23100 0.00230505 0.223243
23200 0.00231505 0.219982
23300 0.00232505 0.224713
23400 0.00233505 0.238009
23500 0.00234505 0.237625
23600 0.00235505 0.271218
23700 0.00236505 0.288086
23800 0.00237505 0.310507
23900 0.00238505 0.322632
24000 0.00239505 0.326455
24100 0.00240505 0.33112
24200 0.00241505 0.335782
24300 0.00242505 0.328417
24400 0.00243505 0.318333
24500 0.00244505 0.292343
24600 0.00245505 0.273925
24700 0.00246505 0.262992
24800 0.00247505 0.257013
24900 0.00248505 0.247336
25000 0.00249505 0.237948
25100 0.00250505 0.225917
25200 0.00251505 0.224901
25300 0.00252505 0.227655
25400 0.00253505 0.239806
25500 0.00254505 0.240799
25600 0.00255505 0.264314
25700 0.00256505 0.272214
25800 0.00257505 0.283369
25900 0.00258505 0.320096
26000 0.00259505 0.32676
26100 0.00260505 0.330563
26200 0.00261505 0.330909
26300 0.00262505 0.330736
26400 0.00263505 0.327437
26500 0.00264505 0.318796
26600 0.00265505 0.318201
26700 0.00266505 0.298659
26800 0.00267505 0.295276
26900 0.00268505 0.284037
27000 0.00269505 0.255295
27100 0.00270505 0.256486
27200 0.00271505 0.238807
27300 0.00272505 0.229272
27400 0.00273505 0.216322
27500 0.00274505 0.236152
27600 0.00275505 0.248117
27700 0.00276505 0.269741
27800 0.00277505 0.277387
27900 0.00278505 0.298101
28000 0.00279505 0.304794
28100 0.00280505 0.305658
28200 0.00281505 0.318293
28300 0.00282505 0.33738
28400 0.00283505 0.334737
28500 0.00284505 0.342145
28600 0.00285505 0.346572
28700 0.00286505 0.333823
28800 0.00287505 0.319488
28900 0.00288505 0.310744
29000 0.00289505 0.288263
29100 0.00290505 0.271155
29200 0.00291505 0.259107
29300 0.00292505 0.235616
29400 0.00293505 0.244772
29500 0.00294505 0.253191
29600 0.00295505 0.25576
29700 0.00296505 0.255994
29800 0.00297505 0.258034
29900 0.00298505 0.274959
30000 0.00299505 0.28764
30100 0.00300505 0.300709
30200 0.00301505 0.321786
