# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 5.05e-05 0.245985
200 0.0001505 0.262772
300 0.0002505 0.274024
400 0.0003505 0.288967
500 0.0004505 0.265196
600 0.0005505 0.277016
700 0.0006505 0.256401
800 0.0007505 0.23806
900 0.0008505 0.216592
1000 0.0009505 0.214126
1100 0.0010505 0.185765
1200 0.0011505 0.181692
1300 0.0012505 0.173834
1400 0.0013505 0.167152
1500 0.0014505 0.16315
1600 0.0015505 0.165909
1700 0.0016505 0.191523
1800 0.0017505 0.199871
1900 0.0018505 0.224364
2000 0.0019505 0.239032
2100 0.0020505 0.27968
2200 0.0021505 0.307436
2300 0.0022505 0.317137
2400 0.0023505 0.33411
2500 0.0024505 0.341313
2600 0.0025505 0.341504
2700 0.0026505 0.359164
2800 0.0027505 0.342917
2900 0.0028505 0.323452
3000 0.0029505 0.325132
3100 0.0030505 0.309614
3200 0.0031505 0.274869
3300 0.0032505 0.273287
3400 0.0033505 0.252713
3500 0.0034505 0.239223
3600 0.0035505 0.239495
3700 0.0036505 0.234601
3800 0.0037505 0.271459
3900 0.0038505 0.267548
4000 0.0039505 0.291463
4100 0.0040505 0.318123
4200 0.0041505 0.328587
4300 0.0042505 0.363155
4400 0.0043505 0.370422
4500 0.0044505 0.395313
4600 0.0045505 0.40639
4700 0.0046505 0.421466
4800 0.0047505 0.420864
4900 0.0048505 0.435174
5000 0.0049505 0.426192
5100 0.0050505 0.40226
5200 0.0051505 0.38956
5300 0.0052505 0.366669
5400 0.0053505 0.361856
5500 0.0054505 0.346324
5600 0.0055505 0.343068
5700 0.0056505 0.327862
5800 0.0057505 0.32864
5900 0.0058505 0.335526
6000 0.0059505 0.3337
6100 0.0060505 0.349782
6200 0.0061505 0.361882
6300 0.0062505 0.391116
6400 0.0063505 0.409763
6500 0.0064505 0.458474
6600 0.0065505 0.465494
6700 0.0066505 0.480427
6800 0.0067505 0.500881
6900 0.0068505 0.501386
7000 0.0069505 0.498045
7100 0.0070505 0.505805
7200 0.0071505 0.482439
7300 0.0072505 0.500213
7400 0.0073505 0.458419
7500 0.0074505 0.452459
7600 0.0075505 0.442862
7700 0.0076505 0.425194
7800 0.0077505 0.409135
7900 0.0078505 0.403638
8000 0.0079505 0.393725
8100 0.0080505 0.406151
8200 0.0081505 0.419196
8300 0.0082505 0.440809
8400 0.0083505 0.465445
8500 0.0084505 0.483717
8600 0.0085505 0.510397
8700 0.0086505 0.527777
8800 0.0087505 0.556205
8900 0.0088505 0.572522
9000 0.0089505 0.582823
