# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 5.05e-05 0.262057
200 0.0001505 0.309874
300 0.0002505 0.35288
400 0.0003505 0.33545
500 0.0004505 0.3314
600 0.0005505 0.316042
700 0.0006505 0.289337
800 0.0007505 0.255119
900 0.0008505 0.233915
1000 0.0009505 0.204718
1100 0.0010505 0.186308
1200 0.0011505 0.167483
1300 0.0012505 0.184809
1400 0.0013505 0.251892
1500 0.0014505 0.279555
1600 0.0015505 0.331393
1700 0.0016505 0.334434
1800 0.0017505 0.391769
1900 0.0018505 0.388841
2000 0.0019505 0.38834
2100 0.0020505 0.381894
2200 0.0021505 0.367789
2300 0.0022505 0.345194
2400 0.0023505 0.277163
2500 0.0024505 0.258745
2600 0.0025505 0.22933
2700 0.0026505 0.256941
2800 0.0027505 0.271692
2900 0.0028505 0.290446
3000 0.0029505 0.316532
3100 0.0030505 0.363756
3200 0.0031505 0.388183
3300 0.0032505 0.405871
3400 0.0033505 0.454586
3500 0.0034505 0.476163
3600 0.0035505 0.459617
3700 0.0036505 0.407461
3800 0.0037505 0.373987
3900 0.0038505 0.335653
4000 0.0039505 0.330488
4100 0.0040505 0.307529
4200 0.0041505 0.31107
4300 0.0042505 0.31138
4400 0.0043505 0.309835
4500 0.0044505 0.34475
4600 0.0045505 0.395357
4700 0.0046505 0.484152
4800 0.0047505 0.491161
4900 0.0048505 0.491519
5000 0.0049505 0.507394
5100 0.0050505 0.480609
5200 0.0051505 0.468511
5300 0.0052505 0.45113
5400 0.0053505 0.424649
5500 0.0054505 0.376047
5600 0.0055505 0.342271
5700 0.0056505 0.332665
5800 0.0057505 0.358539
5900 0.0058505 0.38125
6000 0.0059505 0.39176
6100 0.0060505 0.468897
6200 0.0061505 0.50503
6300 0.0062505 0.523684
6400 0.0063505 0.545345
6500 0.0064505 0.554523
6600 0.0065505 0.569368
6700 0.0066505 0.547642
6800 0.0067505 0.50313
6900 0.0068505 0.461889
7000 0.0069505 0.419105
7100 0.0070505 0.383108
7200 0.0071505 0.3795
7300 0.0072505 0.439115
