# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 5.05e-06 0.374388
200 1.505e-05 0.337174
300 2.505e-05 0.36937
400 3.505e-05 0.33277
500 4.505e-05 0.367348
600 5.505e-05 0.371406
700 6.505e-05 0.390849
800 7.505e-05 0.381773
900 8.505e-05 0.386682
1000 9.505e-05 0.396312
1100 0.00010505 0.340644
1200 0.00011505 0.377791
1300 0.00012505 0.358748
1400 0.00013505 0.346379
1500 0.00014505 0.370622
1600 0.00015505 0.367105
1700 0.00016505 0.390919
1800 0.00017505 0.391291
1900 0.00018505 0.398396
2000 0.00019505 0.361293
2100 0.00020505 0.367145
2200 0.00021505 0.396628
2300 0.00022505 0.372495
2400 0.00023505 0.366429
2500 0.00024505 0.346602
2600 0.00025505 0.345571
2700 0.00026505 0.377855
2800 0.00027505 0.391131
2900 0.00028505 0.384746
3000 0.00029505 0.348186
3100 0.00030505 0.42185
3200 0.00031505 0.392779
3300 0.00032505 0.391395
3400 0.00033505 0.376541
3500 0.00034505 0.333916
3600 0.00035505 0.391857
3700 0.00036505 0.386878
3800 0.00037505 0.387142
3900 0.00038505 0.358109
4000 0.00039505 0.386794
4100 0.00040505 0.389572
4200 0.00041505 0.437425
4300 0.00042505 0.35449
4400 0.00043505 0.379045
4500 0.00044505 0.375942
4600 0.00045505 0.379827
4700 0.00046505 0.392624
4800 0.00047505 0.378608
4900 0.00048505 0.377769
5000 0.00049505 0.380486
5100 0.00050505 0.369179
5200 0.00051505 0.412607
5300 0.00052505 0.416374
5400 0.00053505 0.390702
5500 0.00054505 0.397208
5600 0.00055505 0.419252
5700 0.00056505 0.379588
5800 0.00057505 0.36314
5900 0.00058505 0.342217
6000 0.00059505 0.365681
6100 0.00060505 0.409836
6200 0.00061505 0.409337
6300 0.00062505 0.380882
6400 0.00063505 0.369657
6500 0.00064505 0.400091
6600 0.00065505 0.420361
6700 0.00066505 0.379657
6800 0.00067505 0.367979
6900 0.00068505 0.378316
7000 0.00069505 0.406375
7100 0.00070505 0.402477
7200 0.00071505 0.382838
7300 0.00072505 0.381815
7400 0.00073505 0.399894
7500 0.00074505 0.411742
7600 0.00075505 0.402727
7700 0.00076505 0.373343
7800 0.00077505 0.36378
7900 0.00078505 0.398819
8000 0.00079505 0.385659
8100 0.00080505 0.400523
8200 0.00081505 0.375378
8300 0.00082505 0.390653
8400 0.00083505 0.411135
8500 0.00084505 0.41892
8600 0.00085505 0.407879
8700 0.00086505 0.391582
8800 0.00087505 0.372603
8900 0.00088505 0.41351
9000 0.00089505 0.376606
9100 0.00090505 0.373344
9200 0.00091505 0.358728
9300 0.00092505 0.382378
9400 0.00093505 0.449101
9500 0.00094505 0.415663
9600 0.00095505 0.399054
9700 0.00096505 0.403329
9800 0.00097505 0.399141
9900 0.00098505 0.387197
10000 0.00099505 0.383582
10100 0.00100505 0.372622
10200 0.00101505 0.404095
10300 0.00102505 0.408666
10400 0.00103505 0.374825
10500 0.00104505 0.379097
10600 0.00105505 0.418427
10700 0.00106505 0.434511
10800 0.00107505 0.436298
10900 0.00108505 0.388641
11000 0.00109505 0.369357
11100 0.00110505 0.395732
11200 0.00111505 0.425206
11300 0.00112505 0.364187
11400 0.00113505 0.397524
11500 0.00114505 0.437778
11600 0.00115505 0.41337
11700 0.00116505 0.442849
11800 0.00117505 0.429106
11900 0.00118505 0.422939
12000 0.00119505 0.400009
12100 0.00120505 0.384611
12200 0.00121505 0.365913
12300 0.00122505 0.390088
12400 0.00123505 0.394433
12500 0.00124505 0.378745
12600 0.00125505 0.448326
12700 0.00126505 0.426312
12800 0.00127505 0.441759
12900 0.00128505 0.465592
13000 0.00129505 0.412798
13100 0.00130505 0.386403
13200 0.00131505 0.405967
13300 0.00132505 0.365023
13400 0.00133505 0.362471
13500 0.00134505 0.404473
13600 0.00135505 0.387609
13700 0.00136505 0.434817
13800 0.00137505 0.427376
13900 0.00138505 0.453077
14000 0.00139505 0.42858
14100 0.00140505 0.419935
14200 0.00141505 0.368347
14300 0.00142505 0.424974
14400 0.00143505 0.408512
14500 0.00144505 0.376911
14600 0.00145505 0.384203
14700 0.00146505 0.411892
14800 0.00147505 0.464618
14900 0.00148505 0.434664
15000 0.00149505 0.446765
15100 0.00150505 0.43816
15200 0.00151505 0.411357
15300 0.00152505 0.400094
15400 0.00153505 0.396251
15500 0.00154505 0.390276
15600 0.00155505 0.397976
15700 0.00156505 0.396832
15800 0.00157505 0.401746
15900 0.00158505 0.464282
16000 0.00159505 0.452522
16100 0.00160505 0.416718
16200 0.00161505 0.424117
16300 0.00162505 0.398724
16400 0.00163505 0.423134
16500 0.00164505 0.397939
16600 0.00165505 0.377561
16700 0.00166505 0.390727
16800 0.00167505 0.440082
16900 0.00168505 0.461405
17000 0.00169505 0.42561
17100 0.00170505 0.419635
17200 0.00171505 0.426297
17300 0.00172505 0.476637
17400 0.00173505 0.425528
17500 0.00174505 0.39725
17600 0.00175505 0.431159
17700 0.00176505 0.419561
17800 0.00177505 0.383049
17900 0.00178505 0.411505
18000 0.00179505 0.40867
18100 0.00180505 0.43392
18200 0.00181505 0.483726
18300 0.00182505 0.430373
18400 0.00183505 0.430556
18500 0.00184505 0.458509
18600 0.00185505 0.437402
18700 0.00186505 0.3801
18800 0.00187505 0.3932
18900 0.00188505 0.396732
19000 0.00189505 0.430179
19100 0.00190505 0.436233
19200 0.00191505 0.417797
19300 0.00192505 0.48235
19400 0.00193505 0.462178
19500 0.00194505 0.454909
19600 0.00195505 0.446548
19700 0.00196505 0.37994
19800 0.00197505 0.402193
19900 0.00198505 0.418354
20000 0.00199505 0.398059
20100 0.00200505 0.413792
20200 0.00201505 0.455789
20300 0.00202505 0.476941
20400 0.00203505 0.486164
20500 0.00204505 0.479611
20600 0.00205505 0.441327
20700 0.00206505 0.447386
20800 0.00207505 0.3904
20900 0.00208505 0.421565
21000 0.00209505 0.401501
21100 0.00210505 0.405102
21200 0.00211505 0.400043
21300 0.00212505 0.459461
21400 0.00213505 0.485093
21500 0.00214505 0.472769
21600 0.00215505 0.478328
21700 0.00216505 0.44477
21800 0.00217505 0.450181
21900 0.00218505 0.408884
22000 0.00219505 0.39131
22100 0.00220505 0.419965
22200 0.00221505 0.42145
22300 0.00222505 0.447067
22400 0.00223505 0.43803
22500 0.00224505 0.459169
22600 0.00225505 0.46884
22700 0.00226505 0.453138
22800 0.00227505 0.461485
22900 0.00228505 0.431427
23000 0.00229505 0.409431
23100 0.00230505 0.390073
23200 0.00231505 0.394193
23300 0.00232505 0.421585
23400 0.00233505 0.45452
23500 0.00234505 0.432206
23600 0.00235505 0.467226
23700 0.00236505 0.463801
23800 0.00237505 0.468484
23900 0.00238505 0.444043
24000 0.00239505 0.441813
24100 0.00240505 0.411764
24200 0.00241505 0.393506
24300 0.00242505 0.419297
24400 0.00243505 0.427733
24500 0.00244505 0.423842
24600 0.00245505 0.449283
24700 0.00246505 0.432924
24800 0.00247505 0.493565
24900 0.00248505 0.450364
25000 0.00249505 0.449245
25100 0.00250505 0.42037
25200 0.00251505 0.449814
25300 0.00252505 0.435403
25400 0.00253505 0.419283
25500 0.00254505 0.420951
25600 0.00255505 0.416446
25700 0.00256505 0.446789
25800 0.00257505 0.524192
25900 0.00258505 0.483332
26000 0.00259505 0.461284
26100 0.00260505 0.45606
26200 0.00261505 0.44818
26300 0.00262505 0.417851
26400 0.00263505 0.430109
26500 0.00264505 0.377552
26600 0.00265505 0.452785
26700 0.00266505 0.452658
26800 0.00267505 0.458596
26900 0.00268505 0.495904
27000 0.00269505 0.453438
27100 0.00270505 0.479279
27200 0.00271505 0.472537
27300 0.00272505 0.440176
27400 0.00273505 0.417564
27500 0.00274505 0.40204
27600 0.00275505 0.423219
27700 0.00276505 0.453384
27800 0.00277505 0.472833
27900 0.00278505 0.464971
28000 0.00279505 0.501628
28100 0.00280505 0.491235
28200 0.00281505 0.484594
28300 0.00282505 0.471849
28400 0.00283505 0.441522
28500 0.00284505 0.383444
28600 0.00285505 0.441982
28700 0.00286505 0.428373
28800 0.00287505 0.409045
28900 0.00288505 0.451615
29000 0.00289505 0.497
29100 0.00290505 0.469785
29200 0.00291505 0.481052
29300 0.00292505 0.468629
29400 0.00293505 0.472347
29500 0.00294505 0.466393
29600 0.00295505 0.442483
29700 0.00296505 0.401667
29800 0.00297505 0.407136
29900 0.00298505 0.427111
30000 0.00299505 0.439582
30100 0.00300505 0.483525
30200 0.00301505 0.481928
30300 0.00302505 0.538497
30400 0.00303505 0.526401
30500 0.00304505 0.458438
30600 0.00305505 0.448265
30700 0.00306505 0.472092
30800 0.00307505 0.402947
30900 0.00308505 0.408356
31000 0.00309505 0.430077
31100 0.00310505 0.465925
31200 0.00311505 0.49195
31300 0.00312505 0.499618
31400 0.00313505 0.526095
31500 0.00314505 0.481914
31600 0.00315505 0.474185
31700 0.00316505 0.507124
31800 0.00317505 0.406796
31900 0.00318505 0.41942
32000 0.00319505 0.433825
32100 0.00320505 0.429734
32200 0.00321505 0.433384
32300 0.00322505 0.474341
32400 0.00323505 0.51163
32500 0.00324505 0.508425
32600 0.00325505 0.530257
32700 0.00326505 0.465574
32800 0.00327505 0.481529
32900 0.00328505 0.453304
33000 0.00329505 0.448031
33100 0.00330505 0.406452
33200 0.00331505 0.389723
33300 0.00332505 0.456623
33400 0.00333505 0.485661
33500 0.00334505 0.48638
33600 0.00335505 0.540225
33700 0.00336505 0.533437
33800 0.00337505 0.522411
33900 0.00338505 0.495333
34000 0.00339505 0.455254
34100 0.00340505 0.438821
34200 0.00341505 0.437207
34300 0.00342505 0.424527
34400 0.00343505 0.4623
34500 0.00344505 0.492664
34600 0.00345505 0.502453
34700 0.00346505 0.531517
34800 0.00347505 0.514685
34900 0.00348505 0.515424
35000 0.00349505 0.498599
35100 0.00350505 0.461624
35200 0.00351505 0.427445
35300 0.00352505 0.433117
35400 0.00353505 0.432413
35500 0.00354505 0.445991
35600 0.00355505 0.494063
35700 0.00356505 0.527657
35800 0.00357505 0.524869
35900 0.00358505 0.561413
36000 0.00359505 0.526422
36100 0.00360505 0.490616
36200 0.00361505 0.479355
36300 0.00362505 0.430145
36400 0.00363505 0.42639
36500 0.00364505 0.455621
36600 0.00365505 0.476392
36700 0.00366505 0.464454
36800 0.00367505 0.532936
36900 0.00368505 0.548321
37000 0.00369505 0.54984
37100 0.00370505 0.544437
37200 0.00371505 0.469511
37300 0.00372505 0.456347
37400 0.00373505 0.451093
37500 0.00374505 0.435786
37600 0.00375505 0.480094
37700 0.00376505 0.472379
37800 0.00377505 0.512442
37900 0.00378505 0.518503
38000 0.00379505 0.545771
38100 0.00380505 0.506613
38200 0.00381505 0.553461
38300 0.00382505 0.495291
38400 0.00383505 0.463804
38500 0.00384505 0.450113
38600 0.00385505 0.45842
38700 0.00386505 0.496993
