# Time-averaged data for fix 3
# TimeStep v_strain v_stress_GPa
100 0.0002525 0.56847
200 0.0007525 0.660344
300 0.0012525 0.69199
400 0.0017525 0.666042
500 0.0022525 0.621164
600 0.0027525 0.713055
700 0.0032525 0.76872
800 0.0037525 0.685204
900 0.0042525 0.791992
1000 0.0047525 0.868227
1100 0.0052525 0.753663
1200 0.0057525 0.760149
1300 0.0062525 0.741974
1400 0.0067525 0.826261
1500 0.0072525 0.857937
1600 0.0077525 0.975589
1700 0.0082525 0.916059
1800 0.0087525 0.929539
1900 0.0092525 0.903251
2000 0.0097525 0.843665
2100 0.0102525 0.951342
2200 0.0107525 0.793562
2300 0.0112525 0.970332
2400 0.0117525 1.09045
2500 0.0122525 1.08485
2600 0.0127525 0.958062
2700 0.0132525 0.960376
2800 0.0137525 0.969564
2900 0.0142525 1.06839
3000 0.0147525 1.09277
3100 0.0152525 1.22046
3200 0.0157525 1.14745
3300 0.0162525 1.13235
3400 0.0167525 1.07812
3500 0.0172525 1.13519
3600 0.0177525 1.2374
3700 0.0182525 1.17379
3800 0.0187525 1.24941
3900 0.0192525 1.2941
4000 0.0197525 1.2559
4100 0.0202525 1.24302
4200 0.0207525 1.22467
4300 0.0212525 1.32002
4400 0.0217525 1.33674
4500 0.0222525 1.39171
4600 0.0227525 1.28555
4700 0.0232525 1.38487
4800 0.0237525 1.29528
4900 0.0242525 1.37108
5000 0.0247525 1.44185
5100 0.0252525 1.46783
5200 0.0257525 1.49595
5300 0.0262525 1.45476
5400 0.0267525 1.41544
5500 0.0272525 1.50207
5600 0.0277525 1.48158
5700 0.0282525 1.52721
5800 0.0287525 1.55658
5900 0.0292525 1.57646
6000 0.0297525 1.63654
6100 0.0302525 1.55963
6200 0.0307525 1.54923
6300 0.0312525 1.60891
6400 0.0317525 1.63566
6500 0.0322525 1.69488
6600 0.0327525 1.7556
6700 0.0332525 1.74671
6800 0.0337525 1.71486
6900 0.0342525 1.63103
7000 0.0347525 1.60179
7100 0.0352525 1.67259
7200 0.0357525 1.74963
7300 0.0362525 1.82294
7400 0.0367525 1.83535
7500 0.0372525 1.78395
7600 0.0377525 1.69353
7700 0.0382525 1.71313
7800 0.0387525 1.81015
7900 0.0392525 1.90484
8000 0.0397525 2.08116
8100 0.0402525 1.9903
8200 0.0407525 1.87229
8300 0.0412525 1.76349
8400 0.0417525 1.80171
8500 0.0422525 1.98631
8600 0.0427525 2.06005
8700 0.0432525 2.17095
8800 0.0437525 2.06938
8900 0.0442525 1.94495
9000 0.0447525 1.91812
9100 0.0452525 1.9823
9200 0.0457525 2.10253
9300 0.0462525 2.1614
9400 0.0467525 2.20958
9500 0.0472525 2.15813
9600 0.0477525 2.10821
9700 0.0482525 2.0461
9800 0.0487525 2.02948
9900 0.0492525 2.27118
10000 0.0497525 2.36062
10100 0.0502525 2.27464
10200 0.0507525 2.21982
10300 0.0512525 2.14639
10400 0.0517525 2.25469
10500 0.0522525 2.38972
10600 0.0527525 2.38859
10700 0.0532525 2.31347
10800 0.0537525 2.40754
10900 0.0542525 2.35069
11000 0.0547525 2.38184
11100 0.0552525 2.36014
11200 0.0557525 2.45032
11300 0.0562525 2.54648
11400 0.0567525 2.58839
11500 0.0572525 2.42915
11600 0.0577525 2.45682
11700 0.0582525 2.4284
11800 0.0587525 2.59894
11900 0.0592525 2.63933
12000 0.0597525 2.63589
12100 0.0602525 2.57109
12200 0.0607525 2.55768
12300 0.0612525 2.55564
12400 0.0617525 2.7182
12500 0.0622525 2.64122
12600 0.0627525 2.74334
12700 0.0632525 2.73041
12800 0.0637525 2.74005
12900 0.0642525 2.7147
13000 0.0647525 2.754
13100 0.0652525 2.79792
13200 0.0657525 2.80103
13300 0.0662525 2.75097
13400 0.0667525 2.78529
13500 0.0672525 2.84812
13600 0.0677525 2.86585
13700 0.0682525 2.88973
13800 0.0687525 2.87644
13900 0.0692525 2.86074
14000 0.0697525 2.89384
14100 0.0702525 2.87878
14200 0.0707525 2.99071
14300 0.0712525 3.0367
14400 0.0717525 3.05214
14500 0.0722525 3.05092
14600 0.0727525 2.97575
14700 0.0732525 3.05492
14800 0.0737525 3.02767
14900 0.0742525 3.08996
15000 0.0747525 3.08491
15100 0.0752525 3.17027
15200 0.0757525 3.14593
15300 0.0762525 3.08599
15400 0.0767525 3.11898
15500 0.0772525 3.17758
15600 0.0777525 3.18178
15700 0.0782525 3.19051
15800 0.0787525 3.22925
15900 0.0792525 3.19809
16000 0.0797525 3.21447
16100 0.0802525 3.25084
16200 0.0807525 3.2456
16300 0.0812525 3.31402
16400 0.0817525 3.33107
16500 0.0822525 3.35831
16600 0.0827525 3.29355
16700 0.0832525 3.34698
16800 0.0837525 3.26968
16900 0.0842525 3.29714
17000 0.0847525 3.35351
17100 0.0852525 3.49823
17200 0.0857525 3.45613
17300 0.0862525 3.47155
17400 0.0867525 3.42342
17500 0.0872525 3.40515
17600 0.0877525 3.58046
17700 0.0882525 3.50699
17800 0.0887525 3.68378
17900 0.0892525 3.62986
18000 0.0897525 3.56705
18100 0.0902525 3.62388
18200 0.0907525 3.43467
18300 0.0912525 3.62654
18400 0.0917525 3.6445
18500 0.0922525 3.62895
18600 0.0927525 3.76074
18700 0.0932525 3.73696
18800 0.0937525 3.82159
18900 0.0942525 3.78153
19000 0.0947525 3.83298
19100 0.0952525 3.81247
19200 0.0957525 3.83405
19300 0.0962525 3.9285
19400 0.0967525 3.90686
19500 0.0972525 3.92951
19600 0.0977525 3.94524
19700 0.0982525 3.87739
19800 0.0987525 3.91843
19900 0.0992525 3.85927
20000 0.0997525 3.99412
20100 0.100253 4.07146
20200 0.100753 4.02943
20300 0.101253 4.05344
20400 0.101753 3.96787
20500 0.102253 3.91204
20600 0.102753 3.95102
20700 0.103253 4.05779
20800 0.103753 4.20212
20900 0.104253 4.27752
21000 0.104753 4.16618
21100 0.105253 4.15618
21200 0.105753 4.15593
21300 0.106253 4.26295
21400 0.106753 4.24114
21500 0.107253 4.16705
21600 0.107753 4.26937
21700 0.108253 4.22115
21800 0.108753 4.28475
21900 0.109253 4.28161
22000 0.109753 4.33835
22100 0.110253 4.37195
22200 0.110753 4.3614
22300 0.111253 4.35695
22400 0.111753 4.318
